"x","lower","upper","y"
0,0,0,0
0.2,0.00817491166087186,0.0135822094041343,0.0107425250350723
0.4,0.0120649776598744,0.018352836965368,0.0150635325854747
0.6,0.0156894228422073,0.0227362797813114,0.0190827597033863
0.8,0.0193128868771216,0.027017108430023,0.023044191783135
1,0.022918801901559,0.0313620833380191,0.0270355365807827
1.2,0.026668532023722,0.0357808158129968,0.0310941383715375
1.4,0.0304351505895765,0.0402498045215201,0.0352347084610102
1.6,0.0343561056185836,0.0448224459098173,0.0394603020434836
1.8,0.0383491017340162,0.0494525513362506,0.0437681019780616
2,0.0424520391908784,0.0541136325496986,0.0481526993882332
2.2,0.046646835278959,0.0588479273236723,0.0526078089900677
2.4,0.0508851469612248,0.0636432267565574,0.0571270959717707
2.6,0.0552081113649518,0.0685263291354406,0.0617046225164473
2.8,0.0596082958229892,0.0734368199845042,0.0663351888664448
3,0.0640595918630691,0.0783659784875497,0.0710146566014779
3.2,0.0685283722004406,0.0833385884681408,0.0757402460131227
3.4,0.0730192653766773,0.0883410092463645,0.0805107515028241
3.6,0.077531482073597,0.0933791367973194,0.0853265742889261
3.8,0.0821252261351584,0.0984819127201162,0.0901894532394307
4,0.0868106656868484,0.103625860747906,0.0951018442409212
4.2,0.0915528795881211,0.108754877838765,0.100066060262785
4.4,0.0963717330333576,0.113994135704311,0.105083437678682
4.6,0.101230303615429,0.119253435185815,0.110153810743921
4.8,0.106149964265001,0.124594354889553,0.115275424673303
5,0.111116108630076,0.129989967029169,0.120445202673153
5.2,0.116071385866467,0.135392760280407,0.125659150082303
5.4,0.121203269475391,0.140796754279885,0.130912695570401
5.6,0.12631542360121,0.146268677958964,0.136200885079884
5.8,0.131409362476811,0.15176066699481,0.14151845825449
6,0.136611319659399,0.157250481009135,0.146859884816614
6.2,0.141792317191121,0.162811922837709,0.152219422407899
6.4,0.146946219307696,0.168315828090227,0.157591218251884
6.6,0.152121963909941,0.173861636484093,0.162969448354978
6.8,0.157359076793025,0.179413370045914,0.168348477360049
7,0.162556164965577,0.184958609803103,0.17372302024948
7.2,0.167797395171841,0.190466317863124,0.17908828519432
7.4,0.173019446642788,0.195927530206824,0.184440074988779
7.6,0.178200785171654,0.201367951586338,0.18977482767203
7.8,0.183349811360972,0.206776802819234,0.195089587780073
8,0.188503896594094,0.212185368438761,0.200381915292873
8.2,0.19359029782102,0.217634403401053,0.205649753447959
8.4,0.198675085460167,0.223014052396059,0.210891283815889
8.6,0.203781762087668,0.228390187761946,0.216104797044776
8.8,0.208787796770133,0.233729621004219,0.22128862355282
9,0.213826115913201,0.239038790160166,0.226441367809703
9.2,0.218816248357196,0.244274199195716,0.231563557891262
9.4,0.223781439948762,0.249447619432457,0.23666252147655
9.6,0.228724230599234,0.254664339107381,0.241756512295153
9.8,0.233711097059294,0.259970562676911,0.246862514670525
10,0.238624053562062,0.265157685215692,0.251967634640625
10.2,0.243548147689783,0.270336572210913,0.25702553403228
10.4,0.248340266772238,0.275405060788227,0.261995880895483
10.6,0.25310078792904,0.280370937820001,0.266874103532222
10.8,0.257747161224622,0.285277685851655,0.271678153408124
11,0.262397956891792,0.290147804232344,0.276424279147585
11.2,0.266969426006836,0.294943928086506,0.281119657208461
11.4,0.271573089694473,0.299696077116537,0.285766057846152
11.6,0.276086489737931,0.30438773841311,0.290363580104423
11.8,0.280534069352641,0.309077874939845,0.294912089163778
12,0.284931266338951,0.313697717965132,0.299411536211395
12.2,0.28929457140094,0.318237884503744,0.303861993189476
12.4,0.293602260571866,0.322758995185282,0.30826364137082
12.6,0.297884929353585,0.327176254042282,0.312616755664836
12.8,0.302105890264318,0.331555494636499,0.316921689837794
13,0.306254320522166,0.335901934684164,0.321178863205504
13.2,0.310411702647206,0.34021124136903,0.325388748839447
13.4,0.314545664405646,0.34441327872333,0.329551863213573
13.6,0.318620742403728,0.348554612471732,0.333668757170431
13.8,0.322623175933024,0.352702468637553,0.337740008071114
14,0.32658524281228,0.356819284088403,0.341766213002127
14.2,0.330491726941335,0.360871363604699,0.34574798293435
14.4,0.334371929794674,0.364811064197453,0.349685937757545
14.6,0.338178767871686,0.368769620174994,0.353580702144132
14.8,0.341961392808977,0.372685042082868,0.357432902227064
15,0.345672427483662,0.37653856901926,0.361243163109901
15.2,0.349418325539363,0.380391965997742,0.36501210726538
15.4,0.353091251313088,0.384200428220764,0.368740353924688
15.6,0.356713729240385,0.387930067945176,0.37242851961362
15.8,0.360285254371008,0.39161804179761,0.376077220049501
16,0.36384988139394,0.395307317655736,0.379687073663014
16.2,0.367364670540153,0.398944451634533,0.383258707032095
16.4,0.37083232594685,0.402529965850622,0.386792762483928
16.6,0.3743133227741,0.406043934105831,0.390289908004623
16.8,0.377763874503304,0.409557918402577,0.393750849367052
17,0.381140863549715,0.412997589741576,0.397176344031456
17.2,0.38447459614161,0.416425555319061,0.400567215901964
17.4,0.387809038440188,0.419817781788089,0.403924369480262
17.6,0.391096666241956,0.423187056765039,0.407248801428222
17.8,0.39435465305525,0.426551621384096,0.41054160714902
18,0.397578090139677,0.429837213159799,0.413803979850235
18.2,0.400744378714128,0.433119407964116,0.417037199779722
18.4,0.40389468369952,0.436353412843496,0.420242611998399
18.6,0.40704459991661,0.439555088817632,0.42342159217266
18.8,0.41014625939035,0.442762174754166,0.42657550134045
19,0.41327272578602,0.445907912257703,0.429705632245248
19.2,0.416387181884531,0.449067889663142,0.432813151389132
19.4,0.419445168609068,0.452153194073042,0.435899042151363
19.6,0.422492583928504,0.455224695417413,0.438964054902956
