"x","lower","upper","y"
0,0,0,0
0.2,0.00234036050061329,0.00596299967497106,0.00399603390189129
0.4,0.00327574045203699,0.00752350322804714,0.00522220503019387
0.6,0.00407432473134252,0.0088245357625405,0.00626367439898186
0.8,0.00481584225777131,0.0100196969965876,0.00723694461425311
1,0.00556904671146979,0.0111839918095255,0.00818314940902118
1.2,0.00631805827852874,0.0123142371988673,0.00912174683847062
1.4,0.0070740893503957,0.0134624290514405,0.0100635307790255
1.6,0.00784029091158066,0.0145992097732046,0.0110151815425877
1.8,0.00860174718198429,0.0157568856344695,0.0119811725761441
2,0.00940170428053925,0.0169497884227386,0.0129646605377089
2.2,0.0102208578970832,0.0181522621061359,0.0139679385897035
2.4,0.0110581124996638,0.0193690875797983,0.0149926914057955
2.6,0.011926448650194,0.0206104602470706,0.0160401572096163
2.8,0.0127967597175862,0.0218693394995006,0.0171112434274165
3,0.0137144194117185,0.0231474204931079,0.018206614885901
3.2,0.0146566552315175,0.0244606640331024,0.0193267606225247
3.4,0.0156245765513021,0.0257934233661741,0.0204720402462325
3.6,0.0166183152828592,0.0271622025843164,0.0216427098337716
3.8,0.0176293862221049,0.0286115548814055,0.0228389284862082
4,0.0186506208821209,0.0300502237873361,0.0240607485620767
4.2,0.0197316142024858,0.0314850118695829,0.0253080943867256
4.4,0.0208148804939835,0.0329917007437733,0.0265807354212582
4.6,0.0219257220586324,0.0344718571153867,0.0278782602664962
4.8,0.0230462664491872,0.0360153863302308,0.0292000575063795
5,0.0242047919848641,0.0375757827001132,0.0305453084232898
5.2,0.0253687587282555,0.0391385553043244,0.0319129952512963
5.4,0.0265642689547369,0.0407449526240953,0.0333019270484486
5.6,0.0277801015114457,0.0423986184145264,0.0347107835691863
5.8,0.0290218488462733,0.0439762475486151,0.0361381757323587
6,0.0302461271824545,0.0456785017204983,0.0375827194067652
6.2,0.0314916291438114,0.0473505884386441,0.0390431173075499
6.4,0.0327225316765202,0.0489821184637458,0.0405182419476064
6.6,0.0340116344353226,0.0506615906041701,0.0420072110855867
6.8,0.0353021942029704,0.052362691035321,0.0435094463295563
7,0.0366169310537736,0.0540756118130158,0.0450247058839486
7.2,0.0379361769056457,0.0558115224789668,0.046553084147861
7.4,0.0392881141059631,0.0575486824532502,0.0480949740283194
7.6,0.0406339152700831,0.0593692902089484,0.0496509921508958
7.8,0.0420098537243197,0.0612314451380912,0.051221872049606
8,0.0434641515269453,0.0630446583242616,0.0528083351021276
8.2,0.0448572771147486,0.0648670451032107,0.0544109526015004
8.4,0.0462722156219614,0.0666675816481462,0.0560300142219206
8.6,0.0477326527467791,0.068547322048711,0.0576654178510935
8.8,0.0491737487911352,0.0704138635198911,0.0593165933292726
9,0.050633152972,0.0722414044613508,0.060982468453705
9.2,0.0521120958427874,0.0741128510862082,0.0626614803763105
9.4,0.0536135839956499,0.0760023043342063,0.0643516300903246
9.6,0.0551286869805395,0.0779099782696234,0.066050572893407
9.8,0.0566043632881389,0.0798135700610099,0.0677557341818343
10,0.0580959969612,0.0816795549731701,0.0694644380525645
10.2,0.0596199269691938,0.0835905293910006,0.0711740360425117
10.4,0.0611357333004503,0.0855230310123665,0.0728820247179808
10.6,0.0626011434164306,0.0874139561324622,0.0745861433433624
10.8,0.0641096376662581,0.0893739170781922,0.0762844460071077
11,0.0656064512146754,0.0913065601875912,0.0779753458610503
11.2,0.0671042067297699,0.0931607363010624,0.0796576321074953
11.4,0.0686210817714486,0.0950719249263664,0.081330462742797
