"","response.id","shape","scale","error","convergence","p10year","p50year","p90year","x10prob","x20prob","x40prob","x50prob"
"703","R_dbg8f5ksa0EgeQN",1.12298732479373,91792.5783658994,0.000126663499389868,0,13291.4179892007,74598.2934668871,230654.419421509,3.35076819957395e-05,7.29746849184837e-05,0.000158918715838348,0.000204163799047191
"704","R_dbuRmmIDIn4W0XD",3.69498978301279,12.1414894266654,0.0175793900075905,0,18.7353365939391,40.8869085557364,76.1535328052358,0.0168411502961361,0.117935349432501,0.483870597663852,0.649909983523094
"705","R_dgSuTTO2QylyeKB",3.69498978301279,30.3537235666635,0.0175793900075905,0,46.8383414848478,102.217271389341,190.383832013089,0.000833788801358768,0.00837393275530581,0.0659326193160871,0.117935349432501
"706","R_doRq1Z63peU59sZ",5.2628278993039,35.4306389370271,0.000110129827752274,1,92.7923773511803,174.797448290918,295.242416930675,5.36327688050959e-06,0.000162813141367659,0.00392712788489651,0.0100992413882477
"707","R_e2R6GvNON6muxNL",2.88248405993353,827.227043260264,0.0412180312960667,0,852.477656934941,2115.12008451672,4267.35302941853,5.67122280267659e-07,4.1447356097922e-06,3.00213629925683e-05,5.66089935619027e-05
"708","R_e2tRDIEU0I9vMf7",13.9596339346498,0.517975428402192,0.0134828732602077,0,4.88774331166203,7.05884110958866,9.79522757705565,0.914256834206239,0.999998356876456,1,1
"709","R_e8z96Y4pWG7Gfi9",1.12298732479373,91792.5783658994,0.000126663499389868,0,13291.4179892007,74598.2934668871,230654.419421509,3.35076819957395e-05,7.29746849184837e-05,0.000158918715838348,0.000204163799047191
"710","R_eD5UdK3tMkVa68V",11.8341221273398,127.567674922166,0.0339488459278686,0,981.586358428804,1467.34842838212,2092.24564556362,2.4227077529646e-22,8.22917104662409e-19,2.60065614587071e-15,3.39312535201832e-14
"711","R_eKirZjaKSmfwH8R",3.10868564300472,42.7650554106222,0.000795798950256195,0,49.9961262050699,118.99207321614,234.046369056603,0.00132915831469408,0.00963542565216095,0.0590821095444552,0.100017652961902
"712","R_eRMjVwIyUA8C3Qd",21.8527596686924,4.6481446778019,0.0576581670150436,0,74.9123193113984,100.029678985528,130.225875191347,3.36813869933822e-15,1.65308522929555e-09,0.000109042923947404,0.0019319378744021
"713","R_eS6NPlzF5uACVax",2.75270854723654,20.6178436429939,0.00531566978089509,0,19.6429112783402,50.0500485118954,102.607366100405,0.0216530201131712,0.10383420235412,0.366559519267539,0.499370830122226
"714","R_eWCtbn65z2sdsjv",955.16285912951,104.591603245557,0.327009481213364,1,95782.4685986871,99867.1530930332,104066.35133751,0,0,0,0
"715","R_esXorgfETBgZcS5",9.95366994167151,8.08246716550865,0.000175604111465769,1,49.9861056989231,77.7726870359257,114.367873522639,8.35501721912243e-07,0.000274080745601511,0.0311636585450616,0.100131869096905
"716","R_ezllDINFK8I24fv",6.29590432617843,163.439576623556,0.0276024721800924,0,550.714567302064,975.062889870967,1577.0185817019,1.72592119610866e-11,1.2864174927834e-09,9.09743460279417e-08,3.51747969478584e-07
"717","R_oYLyQZpfFRAVzdT",3.69498978301279,24.2829788533308,0.0175793900075905,0,37.4706731878783,81.7738171114728,152.307065610472,0.00178397822698602,0.0168411502961361,0.117935349432501,0.199680867053255
"718","R_p6EKiqDk9XoD49r",4.54937799179347,9.46856933323695,0.000788820774459398,0,20.0555066588775,39.9643590221268,70.1297175640614,0.00964190697603094,0.0991896516148006,0.500735651934848,0.684774528995019
"719","R_pN8b5fNTXMwMLRL",6.29590432617843,32.6879153247111,0.0276024721800923,0,110.142913460413,195.012577974193,315.403716340379,3.51747969478584e-07,2.12686291129652e-05,0.000994130522973029,0.00313212556722481
"720","R_pQmFkDQwg1rONvX",2.13886770511761,82.5706188688683,0.00281799147661666,0,49.9460132725127,149.977209004408,338.126164528291,0.00441623312435376,0.0179301091913372,0.0672701734564782,0.10018885157777
"721","R_pRTDqV6U9RAuG7T",2.88248405993353,82.7227043260264,0.0412180312960667,0,85.247765693494,211.512008451672,426.735302941853,0.00039921298135895,0.00269351681652955,0.0166577340942462,0.0290501598423136
"722","R_pSKCwyCDt0NNF6x",1.18188142926743,296.297656133657,0.012318466915223,0,48.9979271353703,257.840715331916,773.743065450419,0.0163987089719584,0.0365350553519054,0.0799547650210035,0.102238635991198
